date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:33	345/345	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Apr%202023%2022:01:30%20GMT	http://json2table.com/robots.txt		(from )
00:01:34	7799/7799	---M--	200	added ('OK')	text/html	etag:%2253170ca4371e93cc2d6c0c4e401c6129%22	http://json2table.com/	C:/Mes%20Sites%20Web/app/json2table.com/index.html	(from )
00:01:34	2510/2510	---M--	200	added ('OK')	image/x-icon	etag:%223ffbbbc35ab545f13c56fe8f755066a9%22	http://json2table.com/favicon.ico	C:/Mes%20Sites%20Web/app/json2table.com/favicon.ico	(from http://json2table.com/)
00:01:34	4161/4161	---M--	200	added ('OK')	text/css	etag:%2216aae362bbfaa79a7ae0e94f08a00e54%22	http://json2table.com/viewer.css	C:/Mes%20Sites%20Web/app/json2table.com/viewer.css	(from http://json2table.com/)
00:01:35	99961/99961	---MCZ	200	added ('OK')	text/css	etag:W/%228a7442ca6bedd62cec4881040b9a9e83%22	http://netdna.bootstrapcdn.com/bootstrap/3.1.1/css/bootstrap.min.css	C:/Mes%20Sites%20Web/app/netdna.bootstrapcdn.com/bootstrap/3.1.1/css/bootstrap.min.css	(from http://json2table.com/)
00:01:36	11897/11897	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225d2a5d12-2e79%22	http://jquery.jcubic.pl/js/jquery.splitter-0.14.0.js	C:/Mes%20Sites%20Web/app/jquery.jcubic.pl/js/jquery.splitter-0.14.0.js	(from http://json2table.com/)
00:01:36	1393/1393	---MCZ	200	added ('OK')	text/css	etag:W/%225d2a5d12-571%22	http://jquery.jcubic.pl/css/jquery.splitter.css	C:/Mes%20Sites%20Web/app/jquery.jcubic.pl/css/jquery.splitter.css	(from http://json2table.com/)
00:01:37	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2002%20Apr%202023%2022:01:34%20GMT	http://w.sharethis.com/button/buttons.js	C:/Mes%20Sites%20Web/app/w.sharethis.com/button/buttons.8.delayed	(from http://json2table.com/)
00:01:37	29110/29110	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ba847811448ef90d98d272aeccef2a95%22	http://netdna.bootstrapcdn.com/bootstrap/3.1.1/js/bootstrap.min.js	C:/Mes%20Sites%20Web/app/netdna.bootstrapcdn.com/bootstrap/3.1.1/js/bootstrap.min.js	(from http://json2table.com/)
00:01:38	7298/7298	---M--	200	added ('OK')	application/x-javascript	etag:%22b982c5058643723cf5e96860821c8cb0%22	http://json2table.com/viewer.js	C:/Mes%20Sites%20Web/app/json2table.com/viewer.js	(from http://json2table.com/)
00:01:39	1254/1254	---M--	200	added ('OK')	image/png	etag:%2211c242d8769daff63cd708a32c61b903%22	http://json2table.com/leaf.png	C:/Mes%20Sites%20Web/app/json2table.com/leaf.png	(from http://json2table.com/viewer.css)
00:01:39	69/69	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2002%20Apr%202023%2022:01:36%20GMT	http://www.thecssninja.com/demo/css_tree/document.png	C:/Mes%20Sites%20Web/app/www.thecssninja.com/demo/css_tree/document.c.delayed	(from http://json2table.com/viewer.css)
00:01:40	107210/107210	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264012767-1a2ca%22	https://w.sharethis.com/button/buttons.js	C:/Mes%20Sites%20Web/app/w.sharethis.com/button/buttons.js	(from http://json2table.com/)
00:01:41	50234/50234	---MC-	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/Mes%20Sites%20Web/app/www.google-analytics.com/analytics.js	(from http://json2table.com/)
00:01:41	96381/96381	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	C:/Mes%20Sites%20Web/app/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from http://json2table.com/)
00:01:41	65/65	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2002%20Apr%202023%2022:01:37%20GMT	https://www.thecssninja.com/demo/css_tree/document.png	C:/Mes%20Sites%20Web/app/www.thecssninja.com/demo/css_tree/document.d.delayed	(from http://json2table.com/viewer.css)
00:01:41	64/64	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2002%20Apr%202023%2021:59:02%20GMT	https://thecssninja.com/demo/css_tree/document.png	C:/Mes%20Sites%20Web/app/thecssninja.com/demo/css_tree/document.e.delayed	(from http://json2table.com/viewer.css)
00:01:42	485/485	---M--	200	added ('OK')	image/png	etag:%22ec07dfe4e004a3154d55969aa2d22837-ssl%22	https://ryanseddon.com/demo/css_tree/document.png	C:/Mes%20Sites%20Web/app/ryanseddon.com/demo/css_tree/document.png	(from http://json2table.com/viewer.css)
